question,workflow,tools,sourceCategory,keywords
住宿费多少钱？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""住宿费"", ""费用"", ""标准"", ""宿舍""]"
师生服务中心电话是多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""师生服务中心"", ""电话"", ""五山"", ""大学城""]"
学校报警电话是多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""报警"", ""保卫处"", ""五山"", ""大学城""]"
水电报修电话是多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""水电"", ""报修"", ""电话"", ""后勤""]"
网络中心电话是多少？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""网络中心"", ""电话"", ""87110228""]"
社团活动可以加学分吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""社团"", ""学分"", ""综合测评"", ""加分""]"
社团招新什么时候？,KNOWLEDGE_QA,GET_CURRENT_TIME|SEARCH_PUBLIC_KNOWLEDGE,,"[""社团"", ""招新"", ""时间"", ""百团大战""]"
学校有哪些社团？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""社团"", ""种类"", ""数量"", ""加入""]"
志愿时长有什么用？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""志愿时长"", ""学分"", ""奖学金"", ""综测""]"
怎么加入学生会？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""学生会"", ""加入"", ""招新"", ""面试""]"
学校可以骑自行车吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""自行车"", ""电动车"", ""校园"", ""规定""]"
学校周边有什么好玩的？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""周边"", ""好玩"", ""GOGO"", ""贝岗""]"
学校可以停车吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""停车"", ""停车场"", ""教职工"", ""登记""]"
学校有校车吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校车"", ""校巴"", ""五山"", ""大学城""]"
学校附近有商场吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""商场"", ""购物"", ""超市"", ""附近""]"
学校附近有地铁站吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""地铁"", ""大学城南站"", ""五山站"", ""交通""]"
校车怎么坐？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""校车"", ""乘坐"", ""免费"", ""时间表""]"
从广州南站怎么来学校？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""广州南站"", ""交通"", ""地铁"", ""公交""]"
学校附近有电影院吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""电影院"", ""观影"", ""娱乐"", ""附近""]"
从白云机场怎么来学校？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""白云机场"", ""交通"", ""地铁"", ""机场""]"
学校附近有超市吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""超市"", ""附近"", ""购物"", ""便利店""]"
学校附近有药店吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""药店"", ""附近"", ""买药"", ""校医院""]"
学校附近有健身房吗？,KNOWLEDGE_QA,SEARCH_PUBLIC_KNOWLEDGE,,"[""健身房"", ""附近"", ""锻炼"", ""运动""]"
